model,DR,scheme,MAE,RMSE,R2
linear_regression,peak_clipping,raw,13.6561,17.4311,0.5857
linear_regression,peak_clipping,ma3,10.0217,12.5648,0.7204
linear_regression,peak_clipping,ma6,8.0803,10.0529,0.7717
linear_regression,peak_clipping,ema_alpha_0.3,16.6013,20.6753,0.4172
random_forest,peak_clipping,raw,8.8141,12.6322,0.7824
random_forest,peak_clipping,ma3,5.5553,7.4175,0.9026
random_forest,peak_clipping,ma6,4.1634,5.3459,0.9355
random_forest,peak_clipping,ema_alpha_0.3,13.7718,17.8808,0.5641
svr,peak_clipping,raw,10.2693,13.9258,0.7356
svr,peak_clipping,ma3,6.703,8.7361,0.8648
svr,peak_clipping,ma6,5.0573,6.4448,0.9062
svr,peak_clipping,ema_alpha_0.3,13.924,18.1008,0.5533
knn,peak_clipping,raw,11.1222,15.1993,0.685
knn,peak_clipping,ma3,7.387,9.9468,0.8248
knn,peak_clipping,ma6,5.5783,7.2656,0.8808
knn,peak_clipping,ema_alpha_0.3,14.4436,18.7958,0.5183
persistence,peak_clipping,raw,31.1951,71.7748,-1.0
persistence,peak_clipping,ma3,26.4961,54.7602,-1.0
persistence,peak_clipping,ma6,24.8205,46.7827,-1.0
persistence,peak_clipping,ema_alpha_0.3,29.7914,47.122,-1.0
seasonal_naive,peak_clipping,raw,42.181,82.5848,-1.0
seasonal_naive,peak_clipping,ma3,37.248,66.1456,-1.0
seasonal_naive,peak_clipping,ma6,34.2908,57.1215,-1.0
seasonal_naive,peak_clipping,ema_alpha_0.3,37.2463,56.8556,-1.0
ets,peak_clipping,raw,40.2458,53.0704,-1.0
ets,peak_clipping,ma3,34.6356,44.1542,-1.0
ets,peak_clipping,ma6,29.6834,37.4831,-1.0
ets,peak_clipping,ema_alpha_0.3,30.5883,39.2634,-1.0
lstm,peak_clipping,raw,9.0259,12.5126,0.7863
lstm,peak_clipping,ma3,5.6576,7.4516,0.9015
lstm,peak_clipping,ma6,4.2542,5.3898,0.9342
lstm,peak_clipping,ema_alpha_0.3,13.8009,17.8964,0.5629
linear_regression,valley_filling,raw,24.9782,52.0615,0.576
linear_regression,valley_filling,ma3,17.8341,30.033,0.7735
linear_regression,valley_filling,ma6,14.2104,21.3685,0.838
linear_regression,valley_filling,ema_alpha_0.3,34.6554,63.0101,0.3789
random_forest,valley_filling,raw,21.5629,49.1159,0.6226
random_forest,valley_filling,ma3,15.1635,27.8949,0.8046
random_forest,valley_filling,ma6,12.0186,19.4587,0.8656
random_forest,valley_filling,ema_alpha_0.3,33.7699,61.8271,0.402
svr,valley_filling,raw,30.7331,54.0386,0.5432
svr,valley_filling,ma3,22.3695,33.0239,0.7261
svr,valley_filling,ma6,18.1272,24.4926,0.7871
svr,valley_filling,ema_alpha_0.3,36.1601,62.7273,0.3845
knn,valley_filling,raw,26.3789,58.15,0.471
knn,valley_filling,ma3,19.0781,36.4552,0.6662
knn,valley_filling,ma6,15.3151,26.3828,0.753
knn,valley_filling,ema_alpha_0.3,33.5995,65.8972,0.3207
persistence,valley_filling,raw,27.0534,57.4607,0.4835
persistence,valley_filling,ma3,19.5199,31.2883,0.7541
persistence,valley_filling,ma6,15.8017,21.9898,0.8284
persistence,valley_filling,ema_alpha_0.3,34.2784,62.6732,0.3855
seasonal_naive,valley_filling,raw,54.1564,100.8727,-0.5918
seasonal_naive,valley_filling,ma3,46.0744,76.2617,-0.4606
seasonal_naive,valley_filling,ma6,40.8735,63.5125,-0.4316
seasonal_naive,valley_filling,ema_alpha_0.3,49.2785,86.1829,-0.162
ets,valley_filling,raw,56.7586,83.1619,-0.0819
ets,valley_filling,ma3,46.4568,63.1055,-0.0001
ets,valley_filling,ma6,38.3638,51.4479,0.0606
ets,valley_filling,ema_alpha_0.3,48.3658,79.3542,0.0149
lstm,valley_filling,raw,21.6595,48.7951,0.6267
lstm,valley_filling,ma3,15.3742,28.0659,0.8018
lstm,valley_filling,ma6,12.09,19.5796,0.8638
lstm,valley_filling,ema_alpha_0.3,33.3903,61.8097,0.401
linear_regression,load_shifting,raw,27.3815,50.1215,0.5055
linear_regression,load_shifting,ma3,20.2739,31.6782,0.6821
linear_regression,load_shifting,ma6,16.0433,23.5427,0.75
linear_regression,load_shifting,ema_alpha_0.3,36.1064,58.225,0.3326
random_forest,load_shifting,raw,20.5633,43.4814,0.6278
random_forest,load_shifting,ma3,13.9552,25.1187,0.8001
random_forest,load_shifting,ma6,10.7985,17.5544,0.861
random_forest,load_shifting,ema_alpha_0.3,32.9362,55.0225,0.404
svr,load_shifting,raw,31.5144,50.4909,0.4982
svr,load_shifting,ma3,22.9753,32.314,0.6692
svr,load_shifting,ma6,18.3944,24.4791,0.7297
svr,load_shifting,ema_alpha_0.3,37.0556,57.7379,0.3438
knn,load_shifting,raw,27.2751,52.187,0.4639
knn,load_shifting,ma3,18.8944,33.2828,0.6491
knn,load_shifting,ma6,14.5617,24.0555,0.739
knn,load_shifting,ema_alpha_0.3,34.7296,58.8792,0.3176
persistence,load_shifting,raw,46.7221,70.9466,0.0092
persistence,load_shifting,ma3,38.9543,50.9409,0.1779
persistence,load_shifting,ma6,33.4119,41.9416,0.2065
persistence,load_shifting,ema_alpha_0.3,49.3012,69.0771,0.0607
seasonal_naive,load_shifting,raw,69.8286,106.3292,-1.0
seasonal_naive,load_shifting,ma3,61.166,84.5416,-1.0
seasonal_naive,load_shifting,ma6,54.0061,71.7396,-1.0
seasonal_naive,load_shifting,ema_alpha_0.3,63.4271,90.0749,-0.5972
ets,load_shifting,raw,75.3969,93.8142,-0.7325
ets,load_shifting,ma3,64.9287,77.1287,-0.8846
ets,load_shifting,ma6,54.4933,64.4703,-0.8748
ets,load_shifting,ema_alpha_0.3,64.8719,84.4436,-0.4037
lstm,load_shifting,raw,22.0811,44.9465,0.6026
lstm,load_shifting,ma3,15.2377,26.0309,0.7855
lstm,load_shifting,ma6,11.6277,18.1934,0.851
lstm,load_shifting,ema_alpha_0.3,33.8448,56.1181,0.3805
linear_regression,load_leveling,raw,18.7783,33.8857,0.6125
linear_regression,load_leveling,ma3,14.4082,21.1041,0.7831
linear_regression,load_leveling,ma6,12.2375,16.4505,0.8303
linear_regression,load_leveling,ema_alpha_0.3,24.5956,40.7872,0.4386
random_forest,load_leveling,raw,15.232,31.0634,0.6744
random_forest,load_leveling,ma3,10.5284,17.9876,0.8424
random_forest,load_leveling,ma6,8.3428,12.9326,0.8951
random_forest,load_leveling,ema_alpha_0.3,22.2444,38.7361,0.4937
svr,load_leveling,raw,21.3337,34.3402,0.6021
svr,load_leveling,ma3,15.5106,21.8701,0.7671
svr,load_leveling,ma6,12.5709,16.9642,0.8195
svr,load_leveling,ema_alpha_0.3,24.6616,39.6481,0.4695
knn,load_leveling,raw,18.0843,35.7944,0.5677
knn,load_leveling,ma3,12.7052,22.4923,0.7536
knn,load_leveling,ma6,9.9979,16.2776,0.8339
knn,load_leveling,ema_alpha_0.3,22.2189,40.8974,0.4356
persistence,load_leveling,raw,30.3014,53.8453,0.0216
persistence,load_leveling,ma3,22.4843,33.0917,0.4668
persistence,load_leveling,ma6,18.1824,24.8637,0.6124
persistence,load_leveling,ema_alpha_0.3,26.7782,42.7376,0.3837
seasonal_naive,load_leveling,raw,51.1285,87.775,-1.0
seasonal_naive,load_leveling,ma3,43.9935,68.4267,-1.0
seasonal_naive,load_leveling,ma6,39.4966,58.1923,-1.0
seasonal_naive,load_leveling,ema_alpha_0.3,42.8222,67.3506,-0.5307
ets,load_leveling,raw,50.7685,65.354,-0.4413
ets,load_leveling,ma3,41.9848,52.178,-0.3258
ets,load_leveling,ma6,35.4216,43.7539,-0.2004
ets,load_leveling,ema_alpha_0.3,40.8893,56.9299,-0.0937
lstm,load_leveling,raw,14.8972,30.3512,0.6884
lstm,load_leveling,ma3,10.1738,17.5379,0.8499
lstm,load_leveling,ma6,7.8838,12.3138,0.9048
lstm,load_leveling,ema_alpha_0.3,21.9359,38.4419,0.5001
linear_regression,tou_optimization,raw,25.5811,49.703,0.552
linear_regression,tou_optimization,ma3,18.7968,30.1778,0.7387
linear_regression,tou_optimization,ma6,15.204,22.0785,0.8053
linear_regression,tou_optimization,ema_alpha_0.3,33.3369,58.9458,0.3699
random_forest,tou_optimization,raw,22.2181,45.3711,0.6267
random_forest,tou_optimization,ma3,15.0462,25.9785,0.8063
random_forest,tou_optimization,ma6,11.6694,18.1252,0.8688
random_forest,tou_optimization,ema_alpha_0.3,31.626,56.7905,0.4151
svr,tou_optimization,raw,31.613,50.8475,0.5311
svr,tou_optimization,ma3,22.9948,31.8979,0.708
svr,tou_optimization,ma6,18.3526,24.0363,0.7692
svr,tou_optimization,ema_alpha_0.3,36.2074,58.5332,0.3787
knn,tou_optimization,raw,27.2555,54.0484,0.4702
knn,tou_optimization,ma3,19.0623,34.2193,0.664
knn,tou_optimization,ma6,14.9227,24.6915,0.7564
knn,tou_optimization,ema_alpha_0.3,32.4089,60.8232,0.3291
persistence,tou_optimization,raw,28.9249,58.2172,0.3854
persistence,tou_optimization,ma3,20.9176,33.7823,0.6725
persistence,tou_optimization,ma6,16.6224,24.2967,0.7642
persistence,tou_optimization,ema_alpha_0.3,35.1575,60.0971,0.345
seasonal_naive,tou_optimization,raw,55.7474,99.4859,-0.7949
seasonal_naive,tou_optimization,ma3,46.8502,76.2505,-0.6683
seasonal_naive,tou_optimization,ma6,41.5755,63.8134,-0.6269
seasonal_naive,tou_optimization,ema_alpha_0.3,51.1335,84.0237,-0.2803
ets,tou_optimization,raw,59.1347,82.6595,-0.2391
ets,tou_optimization,ma3,49.1651,64.719,-0.2019
ets,tou_optimization,ma6,40.9829,52.9792,-0.1213
ets,tou_optimization,ema_alpha_0.3,51.2417,76.8002,-0.0696
lstm,tou_optimization,raw,22.5642,46.1226,0.6133
lstm,tou_optimization,ma3,15.5209,26.9028,0.7918
lstm,tou_optimization,ma6,12.0272,18.9207,0.8569
lstm,tou_optimization,ema_alpha_0.3,31.7533,57.3907,0.4013
linear_regression,price_based,raw,26.9569,50.5937,0.519
linear_regression,price_based,ma3,20.1428,31.4692,0.7013
linear_regression,price_based,ma6,16.1621,23.1407,0.7724
linear_regression,price_based,ema_alpha_0.3,33.9316,58.962,0.3467
random_forest,price_based,raw,21.8702,44.8413,0.6221
random_forest,price_based,ma3,14.8648,25.7546,0.7999
random_forest,price_based,ma6,11.5557,18.0616,0.8613
random_forest,price_based,ema_alpha_0.3,31.3575,56.0372,0.4099
svr,price_based,raw,33.6043,52.3942,0.4841
svr,price_based,ma3,24.8506,33.9257,0.6528
svr,price_based,ma6,20.0062,25.8301,0.7164
svr,price_based,ema_alpha_0.3,37.2304,58.9581,0.3468
knn,price_based,raw,27.5291,53.931,0.4534
knn,price_based,ma3,19.2351,34.2463,0.6462
knn,price_based,ma6,15.0334,24.6736,0.7412
knn,price_based,ema_alpha_0.3,32.6474,60.3469,0.3156
persistence,price_based,raw,33.0452,61.6213,0.2864
persistence,price_based,ma3,25.3023,38.1963,0.5599
persistence,price_based,ma6,20.6349,28.5666,0.6531
persistence,price_based,ema_alpha_0.3,37.6464,61.971,0.2783
seasonal_naive,price_based,raw,58.6904,100.8069,-0.9097
seasonal_naive,price_based,ma3,49.86,77.8262,-0.827
seasonal_naive,price_based,ma6,44.1606,65.2233,-0.8084
seasonal_naive,price_based,ema_alpha_0.3,53.1357,85.1297,-0.3619
ets,price_based,raw,62.7526,85.2547,-0.3659
ets,price_based,ma3,53.0349,67.7442,-0.3843
ets,price_based,ma6,44.2483,55.5709,-0.3128
ets,price_based,ema_alpha_0.3,53.8026,78.235,-0.1502
lstm,price_based,raw,22.9683,46.519,0.5923
lstm,price_based,ma3,15.8507,27.1355,0.7772
lstm,price_based,ma6,12.2755,19.0864,0.845
lstm,price_based,ema_alpha_0.3,31.983,57.1502,0.3847
linear_regression,behavioral_dr,raw,24.1041,47.9882,0.5792
linear_regression,behavioral_dr,ma3,17.5423,28.7483,0.7664
linear_regression,behavioral_dr,ma6,14.2248,21.0529,0.8283
linear_regression,behavioral_dr,ema_alpha_0.3,32.6154,57.7641,0.3903
random_forest,behavioral_dr,raw,21.6703,44.7074,0.6348
random_forest,behavioral_dr,ma3,14.5874,25.5325,0.8157
random_forest,behavioral_dr,ma6,11.344,17.9175,0.8757
random_forest,behavioral_dr,ema_alpha_0.3,31.3783,55.8876,0.4293
svr,behavioral_dr,raw,29.7062,49.7624,0.5475
svr,behavioral_dr,ma3,21.565,30.9573,0.7291
svr,behavioral_dr,ma6,17.3357,23.3042,0.7897
svr,behavioral_dr,ema_alpha_0.3,34.5638,57.5773,0.3943
knn,behavioral_dr,raw,26.2803,52.75,0.4916
knn,behavioral_dr,ma3,18.4078,33.3193,0.6862
knn,behavioral_dr,ma6,14.4473,24.062,0.7758
knn,behavioral_dr,ema_alpha_0.3,31.7032,59.7172,0.3484
persistence,behavioral_dr,raw,27.4335,56.6577,0.4135
persistence,behavioral_dr,ma3,19.3168,32.3722,0.7038
persistence,behavioral_dr,ma6,15.4994,23.5066,0.786
persistence,behavioral_dr,ema_alpha_0.3,35.1693,58.6825,0.3708
seasonal_naive,behavioral_dr,raw,54.0453,98.4111,-0.7695
seasonal_naive,behavioral_dr,ma3,45.2493,75.5621,-0.614
seasonal_naive,behavioral_dr,ma6,40.419,63.5857,-0.5658
seasonal_naive,behavioral_dr,ema_alpha_0.3,51.0143,83.0097,-0.259
ets,behavioral_dr,raw,55.5521,79.6343,-0.1587
ets,behavioral_dr,ma3,45.6795,61.8677,-0.082
ets,behavioral_dr,ma6,38.1711,50.7516,0.0025
ets,behavioral_dr,ema_alpha_0.3,49.7942,74.7689,-0.0214
lstm,behavioral_dr,raw,21.5191,44.6226,0.6359
lstm,behavioral_dr,ma3,14.7909,25.9693,0.8092
lstm,behavioral_dr,ma6,11.4242,18.2772,0.8706
lstm,behavioral_dr,ema_alpha_0.3,31.077,56.2248,0.4219
